molindx,Name,SMILES,MolarMass,CASNumber,ExperimentalSolubilityInWater,Temperature,ExperimentReference,Datagroup,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,StandardInChIKey,CalLogP,CalMR,TPSA,LabuteASA,BalabanJIndex,BertzCTIndex,Isomer,Aromatic,Cyclic,ChargeNeutral,MadeOfKeyElements
1298,BENZOIC ACID. 2-(ACETYLOXY)-. 2-(DIETHYLAMINO)-2,CCN(CC)C(=O)COC(=O)C1=CC=CC=C1OC(=O)C,293.32,116482-56-5,2280.0,294.15,NIELSEN.NM & BUNDGAARD.H (1989),G2,77.15296,4.318819888,204.386,355.754,47.02975751,-49.84939673,2.819639224,-6.970172899,-1.539308897,5.430864001,HEFOCUJBDCFYAR-UHFFFAOYSA-N,1.6371,75.9615,72.91,123.1873726,2.719747441,522.5501914,1,True,True,True,True
1299,5-ETHYL-2-METHYLPYRIDINE,CCC1=CN=C(C=C1)C,121.18,000104-90-5,12000.0,293.15,GOE.GL (1982),G2,21.04552,2.896723699,104.301,181.518,10.55497589,-4.09995582,-6.455020074,-6.969715747,-0.555591209,6.414124539,NTSLROIKFLNUIJ-UHFFFAOYSA-N,1.95242,38.352,12.89,55.74587744,2.881555878,176.264053,1,True,True,True,True
1300,4-BROMOIODOBENZENE,C1=CC(=CC=C1Br)I,282.906,000589-87-7,7.92,298.15,Yalkowsky. S.H.; Orr. R.J.; Valvani. S.C.. Ind. Eng. Chem. Fundam. 1979. 18(4). 351-3.,G3,17.07072,0.078768034,133.531,196.498,-6.948270881,13.00846908,-6.060198199,-6.969609623,-1.035874323,5.933735299,UCCUXODGPMAHRL-UHFFFAOYSA-N,3.0537,46.859,0.0,70.56078885,3.032455532,147.3883389,1,True,True,True,True
1301,1.3-Benzenedicarboxylic acid. 2-methoxy-,COC1=C(C=CC=C1C(=O)O)C(=O)O,196.1592,001951-38-8,1000.01999,293.15,OChem,G4,61.33744,3.862382171,132.044,224.678,-21.77753664,1.767325849,20.01021079,-6.969378326,-1.520551535,5.448826791,ZRWAPLTWCQQSAN-UHFFFAOYSA-N,1.0916,46.9126,83.83,79.5512864,3.394040506,350.5387456,1,True,True,True,True
1302,N.2-dimethyl-N-phenylbutanamide,CCC(C)C(=O)N(C)C1=CC=CC=C1,191.2724,084434-18-4,5024.31,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/18326//?documentUUID=b2f484e6-902f-4215-8bd6-669285d8f99c,G5,35.60584,5.387905061,150.529,264.29,-13.05369534,4.001101121,9.052594222,-6.968989203,-0.273086263,6.695902939,LNODIGSABOGNBQ-UHFFFAOYSA-N,2.6955,59.307,20.31,85.54241158,2.756529399,294.4498559,2,True,True,True,True
1303,ethyl 5.5-di(phenyl)-4H-1.2-oxazole-3-carboxylate,CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3,295.3372,163520-33-0,1.06,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/4881//?documentUUID=5d143a55-0822-4b4d-96b1-1b02048e51b6,G5,51.75608,2.024675668,202.925,346.106,21.70039904,-1.172388854,-20.52801018,-6.968888521,-1.669898583,5.298989938,MWKVXOJATACCCH-UHFFFAOYSA-N,3.2696,83.434,47.89,128.9102924,1.997296559,640.4931609,1,True,True,True,True
1304,Glycine. N-(phenylacetyl)-,C1=CC=C(C=C1)CC(=O)NCC(=O)O,193.202,000500-98-1,7299.706069,284.15,OChem,G4,78.19896,5.294863841,138.195,239.909,-17.93794896,6.990578208,10.94737075,-6.968453138,-0.194828372,6.773624766,UTYVDVLMYQPLQB-UHFFFAOYSA-N,0.4299,50.7915,66.4,81.55831171,2.380761862,321.3988126,1,True,True,True,True
1305,5-oxo-3-phenyl-hexanoic acid,CC(=O)CC(CC(=O)O)C1=CC=CC=C1,206.2408,006049-47-4,7380.309668,298.15,OChem,G4,55.60536,2.793140742,143.79,253.143,-0.294179743,-8.385244176,8.679423919,-6.968172861,-0.246345457,6.721827403,DUGWBMXFSCILOV-UHFFFAOYSA-N,2.224,56.7338,54.37,88.73833376,2.805107056,327.1446814,2,True,True,True,True
1307,2-Phenylethyl propanoate,CCC(=O)OCCC1=CC=CC=C1,178.2304,000122-70-3,136.0,298.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/19827/4/9/?documentUUID=476bff33-5bd8-4f34-8cba-5ce46b210f9e,G5,38.24176,2.668671884,137.758,240.332,-16.18937973,3.83784548,12.35153425,-6.96728849,-0.06036147,6.90692702,HVGZQCSMLUDISR-UHFFFAOYSA-N,2.1823,51.396,26.3,78.53118102,2.241376543,254.0526058,1,True,True,True,True
1308,Piperidine. 1-(phenylsulfonyl)-,C1CCN(CC1)S(=O)(=O)C2=CC=CC=C2,225.305,005033-23-8,655.0445381,293.15,OChem,G4,47.9068,8.123096154,136.828,240.003,-25.07629537,19.55287603,5.523419337,-6.967078962,-0.945033418,6.022045544,VRYWBMTXKFQBCA-UHFFFAOYSA-N,1.8612,59.0518,37.38,90.7708921,2.263931581,407.4738789,1,True,True,True,True
1309,Benzoic acid. 5-formyl-2-hydroxy-,C1=CC(=C(C=C1C=O)C(=O)O)O,166.13,000616-76-2,385.0,298.15,BEILSTEIN,G2,45.27088,4.675782621,114.906,193.016,-27.14887866,24.32273252,2.826146147,-6.965764652,-1.669457486,5.296307166,UTCFOFWMEPQCSR-UHFFFAOYSA-N,0.9029,40.4536,74.6,68.07279905,3.254192992,329.8297872,1,True,True,True,True
1310,2-chloro-3-(2.2.2-trifluoroethoxy)pyridine,C1=CC(=C(N=C1)Cl)OCC(F)(F)F,211.5708,256473-04-8,1500.0,298.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/7645/4/9/?documentUUID=aced5f89-a600-4a76-aa55-7a217b1e1e9b,G5,37.4468,6.020733369,131.663,216.791,-20.14096938,16.28626986,3.85469952,-6.96571295,-0.909361994,6.056350956,IUTMJBMTEOTFKB-UHFFFAOYSA-N,2.6761,40.797,22.12,77.29435299,2.600282861,289.3112981,1,True,True,True,True
1311,5-methyl-2-(triazol-2-yl)benzoic acid,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)O,203.2,956317-36-5,992.0,303.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/29869/4/9/?documentUUID=fe868a7b-32f3-4f7d-8dea-5fb61de52c09,G5,54.85224,3.180579541,142.434,240.763,-26.25004691,21.19601224,5.054034669,-6.965400019,-1.383457236,5.581942783,SRBAGFIYKNQXDV-UHFFFAOYSA-N,1.27392,53.0553,68.01,85.96947241,2.61109254,491.3735375,1,True,True,True,True
1312,KTU 3616 (AR enantiomer),CC[C@]1([C@H](C1(Cl)Cl)C)C(=O)N[C@H](C)C2=CC=C(C=C2)Cl,334.68,127640-90-8,1.8,293.15,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,56.65136,7.420680536,211.786,353.959,-7.902537582,-0.809876395,8.712413977,-6.96537825,-0.400288402,6.565089848,RXDMAYSSBPYBFW-RULNRJAQSA-N,4.7372,84.3347,29.1,134.331234,2.105418647,514.3548404,8,True,True,True,True
1313,N-tert-butyl-6-chloro-1.3.5-triazine-2.4-diamine,CC(C)(C)NC1=NC(=NC(=N1)N)Cl,201.6583,030125-63-4,327.1,293.15,OChem,G4,47.6976,6.40511985,142.792,243.344,24.63139171,-16.51234773,-8.119043979,-6.965209539,-0.547065061,6.418144479,LMKQNTMFZLAJDV-UHFFFAOYSA-N,1.3176,52.6251,76.72,81.74313463,2.896293578,285.9914784,1,True,True,True,True
1314,ALLOPURINOL. 1-[BENZOYLOXYMETHYL]-,C1=CC=C(C=C1)C(=O)OCN2C3=C(C=N2)C(=O)NC=N3,270.247,098846-65-2,23.97512508,295.15,OChem,G4,79.11944,3.643025068,171.024,287.556,47.50447583,-44.61360704,-2.890868788,-6.965144232,-1.462143081,5.503001151,NWZNKSOQRRBBJE-UHFFFAOYSA-N,0.9341,70.0062,89.87,112.3831649,1.795126147,807.0992622,1,True,True,True,True
1315,6-Methoxypurine,COC1=NC=NC2=C1NC=N2,150.1396,001074-89-1,4430.933728,293.15,OChem,G4,61.17008,8.064417857,108.835,182.055,19.20990129,-14.32877001,-4.881131276,-6.9649728,-0.863044382,6.101928418,GOILPRCCOREWQE-UHFFFAOYSA-N,0.3615,38.2357,63.69,62.45965936,2.785299005,369.3747187,1,True,True,True,True
1317,N-METHYL O-SEC-BUTYL PHENYL CARBAMATE,CCC(C)C1=CC=CC=C1OC(=O)NC,207.27,003766-81-2,420.0,293.15,TOMLIN.C (1994),G2,46.4424,4.054344334,145.972,258.938,27.35730848,-24.40005587,-2.95725261,-6.96420816,-0.15480228,6.809405879,DIRFUJHNVNOBMY-UHFFFAOYSA-N,2.9183,60.2317,38.33,90.44598532,2.905749558,336.1489336,2,True,True,True,True
1318,BUTAMIFOS,CCC(C)NP(=S)(OCC)OC1=C(C=CC(=C1)C)[N+](=O)[O-],332.3537,036335-67-8,5.100356323,298.15,OChem,G4,53.93176,7.29881393,205.634,356.372,42.7083347,-7.225285965,-35.48304873,-6.963402702,-2.542226406,4.421176297,OEYOMNZEMCPTKN-UHFFFAOYSA-N,3.93112,87.2611,73.63,129.7653935,3.11238765,552.9728395,4,True,True,True,True
1319,2.3.4.5-PCB,C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,291.99,033284-53-6,0.014,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,19.28824,3.964359647,185.673,288.232,-12.17381695,9.9978219,2.175995047,-6.962159141,-1.314071432,5.64808771,HLQDGCWIOSOMDP-UHFFFAOYSA-N,5.9672,71.918,0.0,113.7015622,2.677072339,520.2871241,1,True,True,True,True
1320,ALLOPURINOL. 1-[(ACETYLOXY)METHYL]-,CC(=O)OCN1C2=C(C=N1)C(=O)NC=N2,208.1762,098846-64-1,580.0041176,295.15,OChem,G4,76.90192,3.929376903,136.568,232.02,32.19109439,-27.79065188,-4.400442512,-6.96179723,-1.000008338,5.961788892,UIJGCCLNZYPVFJ-UHFFFAOYSA-N,-0.3598,49.9147,89.87,83.69101284,2.409435817,556.2572781,1,True,True,True,True
1321,2.3.3'.4'.5.6-HEXACHLORODIPHENYL  ETHER,C1=CC(=C(C=C1OC2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl)Cl,376.881,155999-97-6,0.001888879,303.15,OChem,G4,23.97432,2.634363963,216.63,329.374,24.70610078,-16.94477762,-7.761323156,-6.961114224,-1.241681489,5.719432735,YLAYOOJLJKJGCF-UHFFFAOYSA-N,7.3993,83.018,9.23,139.4216399,2.456526156,614.3521142,1,True,True,True,True
1322,4.4.6-trimethyl-2-(phenylmethyl)-1.3-dioxane,CC1CC(OC(O1)CC2=CC=CC=C2)(C)C,220.3108,067633-94-7,396.6,297.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/19416/4/9/?documentUUID=a9ee9659-4906-4d63-97f9-e4ae1f7d7e0d,G5,33.43016,3.000607771,151.892,273.595,9.181833063,-9.650490292,0.468657229,-6.961054358,0.00468017,6.965734529,KSEFBQCEGMTNPD-UHFFFAOYSA-N,3.1592,64.262,18.46,97.57219934,1.999223571,331.848395,4,True,True,True,True
1323,1-chloro-2.3-dimethylbenzene,CC1=C(C(=CC=C1)Cl)C,140.6121,000608-23-1,20.1,297.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/25181/4/9/?documentUUID=f92a9d70-8a4c-4982-a6bf-135fd522964d,G5,15.98288,2.889747171,113.251,187.581,8.947417029,-1.081913789,-7.86550324,-6.960632582,-0.167599122,6.79303346,NVLHGZIXTRYOKT-UHFFFAOYSA-N,2.95684,40.926,0.0,60.46455358,3.247834734,195.5576621,1,True,True,True,True
1324,Cyproconazole,CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,291.7797,094361-06-5,140.0087162,298.15,OChem,G4,51.12848,5.060998181,177.978,305.567,24.87933961,-17.61158026,-7.267759349,-6.959990393,-0.405832997,6.554157396,UFNOUKDBUJZYDE-UHFFFAOYSA-N,2.8654,77.2588,50.94,122.9616424,1.948662544,565.3143788,4,True,True,True,True
1325,2.3'.5-TRICHLOROBIPHENYL,C1=CC(=CC(=C1)Cl)C2=C(C=CC(=C2)Cl)Cl,257.5463,038444-81-4,0.25284555,298.15,OChem,G4,22.8028,2.26162077,170.329,267.63,25.19731096,-17.93744026,-7.259870695,-6.95984073,-1.138792192,5.821048538,ONNCPBRWFSKDMQ-UHFFFAOYSA-N,5.3138,66.908,0.0,103.398296,2.578950773,491.9759471,1,True,True,True,True
1326,PHENETHYL  ACETATE,CC(=O)OCCC1=CC=CC=C1,164.2036,000103-45-7,963.0,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/5534//?documentUUID=c6a77e1d-9d15-44ef-802b-553606529bb6,G1,36.98656,2.627893455,118.137,206.786,-16.95738479,4.2973258,12.66005899,-6.958989013,-0.051285489,6.907703524,MDHYEMXUFSJLGV-UHFFFAOYSA-N,1.7922,46.779,26.3,72.16623891,2.290572056,241.275309,1,True,True,True,True
1327,2.2'.4.4'.5.5'-HEXACHLORODIPHENYL  ETHER,C1=C(C(=CC(=C1Cl)Cl)Cl)OC2=CC(=C(C=C2Cl)Cl)Cl,376.881,071859-30-8,0.001645145,303.15,OChem,G4,20.12504,0.090770397,202.724,308.823,-22.36753312,10.03026392,12.3372692,-6.958961802,-1.061211402,5.8977504,PECXRRMHOQBOIE-UHFFFAOYSA-N,7.3993,83.018,9.23,139.4216399,2.415402522,585.1021142,1,True,True,True,True
1328,1.1'-Biphenyl. 2.3.4'.5-tetrachloro-,C1=CC(=CC=C1C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl,291.9914,074472-34-7,0.049587254,298.15,OChem,G4,21.21288,1.563417118,193.683,299.964,-8.924863474,-4.575399324,13.5002628,-6.958891052,-1.261126211,5.697764841,CITMYAMXIZQCJD-UHFFFAOYSA-N,5.9672,71.918,0.0,113.7015622,2.59263094,517.2871241,1,True,True,True,True
1329,1-Bromo-4-fluorobenzene,C1=CC(=CC=C1F)Br,175.0,000460-00-4,193.878,302.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/18618/4/9/?documentUUID=b9d3fc5b-6442-488c-b039-d4401d0ba5dc,G5,15.4808,0.840714793,107.592,168.909,-7.626423904,-4.929012552,12.55543646,-6.95831417,-0.520007677,6.438306493,AITNMTXHTIIIBB-UHFFFAOYSA-N,2.5882,34.1,0.0,55.46448613,3.032455532,147.3883389,1,True,True,True,True
1330,BETA-PHENYLPROPIONIC ACID,C1=CC=C(C=C1)CCC(=O)O,150.18,000501-52-0,5900.0,293.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,38.0744,2.175614546,109.343,191.208,-9.829860678,1.920646911,7.909213767,-6.958284238,-0.0070914,6.951192844,XMIIGOLPHOKFCH-UHFFFAOYSA-N,1.7038,42.3988,37.3,65.48198531,2.453018744,228.5778659,1,True,True,True,True
1331,2-[(2-Nitrophenyl)hydrazono]malononitrile,C1=CC=C(C(=C1)NN=C(C#N)C#N)[N+](=O)[O-],215.17,055653-13-9,25.28027069,298.15,OChem,G4,51.00296,9.288340066,158.736,258.154,-34.69601319,17.11935891,17.57665428,-6.958167229,-3.052591179,3.90557605,NKWOBFAONPVDDE-UHFFFAOYSA-N,1.40986,55.3801,115.11,90.37968524,2.998680837,507.4362619,1,True,True,True,True
1333,p.p'-DDT,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,354.4901,000050-29-3,0.005503058,298.15,OChem,G4,32.25864,1.543569485,217.059,338.77,31.30528303,-19.02978594,-12.27549709,-6.956463795,-1.187619512,5.768844284,YVGGHNCTFXOJCH-UHFFFAOYSA-N,6.4955,85.037,0.0,136.7347127,2.474116813,494.0441614,1,True,True,True,True
1334,2'.3.4.4'.5'-PCB,C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl,326.44,031508-00-6,0.0134,293.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,22.67728,1.996538929,199.068,304.925,-26.11185793,21.82546373,4.286394206,-6.956398488,-1.406113448,5.55028504,IUTPYMGCWINGEY-UHFFFAOYSA-N,6.6206,76.928,0.0,124.0048285,2.598865734,577.3489384,1,True,True,True,True
1335,6H-purine-6-thione,C1=NC2=C(N1)C(=NC=N2)S,152.18,000050-44-2,250.0,293.15,Brown;_Journal_of_the_Chemical_Society;_(1954);_p._2060.2062;,G1,64.51728,7.049299215,110.413,175.375,22.64015865,-17.82267538,-4.817483275,-6.956191681,-1.349046516,5.607145165,GLVAUDGFNGKCSF-UHFFFAOYSA-N,0.6416,38.9357,54.46,62.13623868,2.950090305,355.1754374,1,True,True,True,True
1336,2-Phenyl-4.5-dichloro-3-pyridazinone,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Cl)Cl,241.08,001698-53-9,100.0,293.15,IUCLID (2000) EINECS No. 216-917-6,G2,36.48448,4.181931747,153.103,244.742,16.30986399,-18.20890811,1.899044111,-6.955470579,-2.166825822,4.788644757,VKWCOHVAHQOJGU-UHFFFAOYSA-N,2.5393,59.854,34.89,95.8742729,2.660282009,536.8638064,1,True,True,True,True
1337,(2S)-2-amino-3-phenylpropanoic acid,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,165.1914,000063-91-2,26914.56926,298.15,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,48.91096,1.959587661,115.367,203.376,-14.2623136,13.00509893,1.257214671,-6.954741314,-0.143225571,6.811515742,COLNVLDHVKWLRT-QMMMGPOBSA-N,0.641,45.7572,63.32,70.82187601,2.584604082,258.4908623,2,True,True,True,True
1338,2.3.4.4'.5-Pentachlorobiphenyl,C1=CC(=CC=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl,326.44,074472-37-0,0.016,293.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,20.92,1.708646502,206.932,317.139,-18.44971728,0.926664375,17.5230529,-6.954569882,-1.393046806,5.561523076,SXZSFWHOSHAKMN-UHFFFAOYSA-N,6.6206,76.928,0.0,124.0048285,2.637737572,560.0989384,1,True,True,True,True
1339,2.5-DIMETHYLPYRIDINE,CC1=CN=C(C=C1)C,107.16,000589-93-5,270000.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,20.83632,3.049435793,103.001,175.412,10.28738022,-3.922002964,-6.365377256,-6.953391628,-0.494469234,6.458922394,XWKFPIODWVPXLX-UHFFFAOYSA-N,1.69844,33.711,12.89,49.38093533,3.032455532,143.2466295,1,True,True,True,True
1340,5-METHYL-2-NITROPHENOL,CC1=CC(=C(C=C1)[N+](=O)[O-])O,153.14,000700-38-9,272.0,293.15,SCHWARZENBACH.RP ET AL. (1988),G1,27.90728,5.805652632,114.055,193.482,6.846128479,-6.153158884,-0.692969594,-6.952861006,-2.53513321,4.417727796,NQXUSSVLFOBRSE-UHFFFAOYSA-N,1.60882,39.4982,63.37,63.24355471,3.196069662,295.7372023,1,True,True,True,True
1341,2.4.6-Trimethylbenzoic_acid,CC1=CC(=C(C(=C1)C)C(=O)O)C,164.21,000480-63-7,723.0,298.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,36.48448,2.524443804,128.09,222.963,-16.85011003,16.5010074,0.349102625,-6.952705901,-0.940502992,6.012202909,FFFIRKXTFQCCKJ-UHFFFAOYSA-N,2.31006,47.6123,37.3,71.84692743,3.379814336,303.6056187,1,True,True,True,True
1343,2.3.5-trichlorophenol,C1=C(C=C(C(=C1O)Cl)Cl)Cl,197.448,000933-78-8,771.0,298.15,Shiu._Wan-Ying;_Mackay._Donald;_Journal_of_Chemical_&_Engineering_Data;_vol._38;_3;_(1993);_p._364_-_366;,G1,20.20872,1.524661985,130.329,201.58,9.963822458,-6.001974057,-3.961848401,-6.952246028,-0.844809206,6.107436822,WWGQHTJIFOQAOC-UHFFFAOYSA-N,3.3524,43.1368,20.23,73.13543555,3.310532875,236.1649959,1,True,True,True,True
1344,4-(2.4-Dichlorophenoxy)-2-methoxy-1-nitrobenzene,COC1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],314.1244,032861-85-1,0.3,298.15,OChem,G4,54.97776,8.312872612,203.27,329.194,-59.86502188,26.60298259,33.26203928,-6.95077117,-2.227941266,4.722829904,DXXVCXKMSWHGTF-UHFFFAOYSA-N,4.7025,76.1844,61.6,124.3400381,2.31965731,660.8145701,1,True,True,True,True
1345,Terbuthylazine,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,229.7119,005915-41-3,9.102978018,293.15,OChem,G4,41.33792,6.357544934,164.412,283.438,25.73194406,-16.55442382,-9.177520241,-6.950235106,-0.57876362,6.371471485,FZXISNSWEXTPMF-UHFFFAOYSA-N,2.1672,62.3764,62.73,94.68299034,2.884038547,333.7648556,1,True,True,True,True
1346,Benzoic acid. 3-formyl-2-hydroxy-,C1=CC(=C(C(=C1)C(=O)O)O)C=O,166.133,000610-04-8,600.0064342,297.15,OChem,G4,42.6768,6.716108901,113.231,190.222,-5.818736141,6.540284903,-0.721548763,-6.950001088,-2.013837889,4.936163198,YOEUNKPREOJHBW-UHFFFAOYSA-N,0.9029,40.4536,74.6,68.07279905,3.318880969,329.8297872,1,True,True,True,True
1347,4-CHLORO-2-NITROPHENOL,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,173.56,000089-64-5,141.0,293.15,SCHWARZENBACH.RP ET AL. (1988),G1,25.43872,3.48939241,117.09,190.139,-6.855161974,3.570472801,3.284689173,-6.949418764,-2.728517011,4.220901753,NWSIFTLPLKCTSX-UHFFFAOYSA-N,1.9538,39.7712,63.37,67.18187882,3.23220887,299.8789117,1,True,True,True,True
1348,ISODECYL DIPHENYL PHOSPHATE,CC(C)CCCCCCCOP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2,390.46,029761-21-5,0.75,298.15,SAEGER.VW ET AL. (1979),G2,46.60976,4.421763888,243.022,431.057,-26.69692323,-2.754350005,29.45127323,-6.948591537,-0.36685321,6.581738327,RYUJRXVZSJCHDZ-UHFFFAOYSA-N,7.2657,110.2385,44.76,163.0281648,1.820457118,627.7268374,1,True,True,True,True
1349,[(8R.9S.10R.13S.14S.17S)-10.13-dimethyl-3-oxo-1.2.6.7.8.9.11.12.14.15.16.17-dodecahydrocyclopenta[a]phenanthren-17-yl] benzoate,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)C4=CC=CC=C4)CCC5=CC(=O)CC[C@]35C,392.537,002088-71-3,12.9981217,298.15,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G4,57.15344,8.549107517,230.542,416.129,-55.18877423,38.94744122,16.24133301,-6.948210578,-1.281190809,5.667019769,RZJSCADWIWNGKI-IXKNJLPQSA-N,5.7439,112.3555,43.37,173.4539072,1.366026908,855.964232,64,True,True,True,True
1350,P-NITROANISOLE,COC1=CC=C(C=C1)[N+](=O)[O-],153.14,000100-17-4,590.0,303.15,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,37.90704,8.071185531,114.649,193.652,-13.93729985,13.8069548,0.130345049,-6.948036425,-2.298540971,4.649495453,BNUHAJGCKIQFGE-UHFFFAOYSA-N,1.6034,39.6484,52.37,63.56286619,2.913801563,254.8931256,1,True,True,True,True
1351,BENZYL ALCOHOL,C1=CC=C(C=C1)CO,108.14,000100-51-6,42900.0,298.15,YALKOWSKY.SH ET AL. (2010),G2,28.74408,1.83650456,88.971,153.393,-7.770034207,0.532810314,7.237223893,-6.947652744,-0.019146376,6.928506376,WVDDGKGOMKODPV-UHFFFAOYSA-N,1.1789,32.3648,20.23,48.59057899,2.832085835,145.7328145,1,True,True,True,True
1352,(ethoxy-phenylphosphoryl)-(2.4.6-trimethylphenyl)methanone,CCOP(=O)(C1=CC=CC=C1)C(=O)C2=C(C=C(C=C2C)C)C,316.3359,084434-11-7,35.0,293.15,https://echa.europa.eu/registration-dossier/-/registered-dossier/11088//?documentUUID=4b5ef102-6736-4f33-8822-cb75b4383503,G5,63.30392,8.633133072,210.445,365.386,21.99035926,0.380665629,-22.37102489,-6.947364303,-1.858414808,5.088949495,ZMDDERVSCYEKPQ-UHFFFAOYSA-N,4.39216,90.292,43.37,131.3294875,2.601020109,712.2475302,2,True,True,True,True
1353,(Z)-3-<2-(acetyloxy)phenyl>-2-propenoic_acid,CC(=O)OC1=C(\C=C/C(O)=O)C=CC=C1,206.198,019878-96-7,1140.0,298.15,Stoermer;_Chemische_Berichte;_vol._46;_(1913);_p._267;,G1,54.1828,3.155595698,129.642,223.875,-19.32815821,1.81249093,17.51566728,-6.94668946,-1.608295783,5.338393678,UXOWQQCLBQBRMQ-SREVYHEPSA-N,1.7097,54.4208,63.6,86.79733384,2.953655531,406.8038779,2,True,True,True,True
1354,2.3.5-TRICHLOROPHENOXYACETIC  ACID,C1=C(C=C(C(=C1OCC(=O)O)Cl)Cl)Cl,255.4847,033433-95-3,255.4847,298.15,OChem,G4,51.54688,5.704877296,161.618,256.793,25.50053562,-9.689660688,-15.81087493,-6.946493538,-0.888645139,6.057848399,GFMRARCDRIKDAV-UHFFFAOYSA-N,3.1102,54.6028,46.53,95.14038711,2.903390485,365.0942913,1,True,True,True,True
1355,2-Pteridinol. 6.7-diethyl-,CCC1=NC2=C(NC(=O)N=C2)N=C1CC,204.231,090870-76-1,1111.019455,293.15,OChem,G4,57.7392,10.00955798,139.246,240.858,-29.74469618,13.37747336,16.36722282,-6.946172444,-2.468427184,4.47774526,GSGKUGGVXZDGBA-UHFFFAOYSA-N,0.8379,56.7097,71.53,86.61295013,2.748137512,546.6039525,1,True,True,True,True
1356,M-BROMOCINNAMIC ACID,C1=CC(=CC(=C1)Br)/C=C/C(=O)O,227.0571,032862-97-8,524.9707263,298.15,OChem,G4,41.4216,3.886673941,141.844,228.462,10.33789601,-1.625431065,-8.712464949,-6.945889445,-1.99651865,4.949370796,YEMUSDCFQUBPAL-SNAWJCMRSA-N,2.5469,50.8118,37.3,78.65992989,2.826395263,318.0595034,2,True,True,True,True
1357,OXYTHIOQUINOX,CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3,234.2902,002439-01-2,0.99989437,293.15,OChem,G4,25.89896,6.719340028,169.473,266.425,4.268881617,-0.879897456,-3.388984161,-6.945649985,-2.296410863,4.649239122,FBQQHUGEACOBDN-UHFFFAOYSA-N,2.57462,63.805,42.85,93.05170646,2.514523654,714.0826798,1,True,True,True,True
1358,3-(1-AZIRIDINYL)-4.6-DINITRO-(N.N-DIMETHYL)BENZAMIDE,CN(C)C(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,280.2396,027221-03-0,927.9605303,298.15,OChem,G4,76.19064,8.535636352,178.512,307.422,-36.69313047,35.10081712,1.592313357,-6.945361544,-2.606967496,4.338394048,JORNJVDPZHKPNJ-UHFFFAOYSA-N,1.0248,69.9813,109.6,113.2374234,2.655794481,609.0762018,1,True,True,True,True
1359,ACETAMIDE. 2-(BENZOYLOXY)-N.N-BIS(1-METHYLETHYL),CC(C)N(C(C)C)C(=O)COC(=O)C1=CC=CC=C1,263.34,106231-56-5,120.0,295.15,NIELSEN.NM & BUNDGAARD.H (1988),G2,57.53,4.907475016,190.742,334.298,39.84342251,-26.88753765,-12.95588486,-6.945358823,-1.35446866,5.590890163,ZWUAUTPCFIIFAS-UHFFFAOYSA-N,2.4888,73.8425,46.61,113.9123052,2.567378229,418.2766441,1,True,True,True,True
